시장,코드,종목명,현재가,등락률,시가총액,거래량,거래대금억원_추정,PER,ROE,점수
KOSDAQ,102120,어보브반도체,11390.0,-4.92,2025.0,377894.0,43.0421266,20.02,8.76,5
KOSPI,001250,GS글로벌,3245.0,-5.67,2678.0,1316570.0,42.7226965,15.38,3.71,5
KOSDAQ,001540,안국약품,11500.0,5.12,1500.0,328879.0,37.821085,9.22,4.52,5
KOSDAQ,372320,큐로셀,31550.0,0.32,4804.0,110082.0,34.730871,-9.46,55.22,5
KOSPI,010780,아이에스동서,28800.0,-4.48,8694.0,119736.0,34.483968,8.93,-4.13,5
KOSPI,025820,이구산업,5250.0,-4.37,1756.0,625859.0,32.8575975,8.23,7.74,5
KOSDAQ,039440,에스티아이,28700.0,-1.88,4451.0,113328.0,32.525136,25.83,5.63,5
KOSPI,018880,한온시스템,5630.0,10.39,57779.0,84024708.0,4730.5910604,-43.31,-6.0,4
KOSDAQ,086520,에코프로,139000.0,-3.94,188729.0,1977504.0,2748.73056,-126.02,-8.39,4
KOSPI,367760,RISE 네트워크인프라,88015.0,9.16,8185.0,2813969.0,2476.71481535,,,4
KOSPI,0190,RISE 현대차고정피지컬AI,14600.0,13.57,4292.0,15043263.0,2196.316398,,,4
KOSPI,466930,SOL 자동차TOP3플러스,41465.0,12.81,5183.0,3349590.0,1388.9074935,,,4
KOSPI,454910,두산로보틱스,106500.0,6.08,69033.0,1281197.0,1364.474805,-125.0,-14.78,4
KOSDAQ,477850,마키나락스,37900.0,5.28,6648.0,2517196.0,954.017284,,-160.84,4
KOSPI,336260,두산퓨얼셀,91400.0,-7.21,59861.0,978271.0,894.139694,-55.06,-30.66,4
KOSDAQ,950160,코오롱티슈진,98900.0,-4.54,83804.0,709978.0,702.168242,-42.19,-183.43,4
KOSPI,332500,ACE 200TR,91105.0,4.19,2733.0,687132.0,626.0116086,,,4
KOSDAQ,036540,SFA반도체,8320.0,-7.56,13683.0,7232722.0,601.7624704,-113.97,-3.93,4
KOSDAQ,189300,인텔리안테크,133100.0,-11.27,14292.0,360648.0,480.022488,40.74,2.81,4
KOSDAQ,490470,세미파이브,38500.0,-3.14,13090.0,1125112.0,433.16812,-19.46,-31.2,4
KOSPI,0023,SOL 미국양자컴퓨팅TOP10,38940.0,8.15,6308.0,1042311.0,405.8759034,,,4
KOSDAQ,032500,케이엠더블유,33350.0,6.89,14071.0,1208545.0,403.0497575,-51.23,-19.66,4
KOSDAQ,007390,네이처셀,30400.0,-5.88,19588.0,1304503.0,396.568912,-706.98,-4.45,4
KOSDAQ,445680,큐리옥스바이오시스템즈,90400.0,-2.48,15552.0,381307.0,344.701528,-57.84,-53.58,4
KOSPI,469070,RISE AI&로봇,16270.0,7.86,5320.0,1791561.0,291.4869747,,,4
KOSPI,0005,SOL 전고체배터리&실리콘음극재,22685.0,-0.33,2234.0,1241269.0,281.58187265,,,4
KOSPI,471760,TIGER AI반도체핵심공정,19600.0,-1.88,1784.0,1433732.0,281.011472,,,4
KOSPI,0115,KODEX 조선TOP10,10325.0,-1.67,2282.0,2626823.0,271.21947475,,,4
KOSPI,315960,RISE 대형고배당10TR,96830.0,3.31,7311.0,279723.0,270.8557809,,,4
